Job Title | Education | age | sex | Online Edu | Edu Match
Kitchen and catering assistants | Other qualification | 33 | Female | GCSE grades A*-C or equivalent | 0
Mtl working prod & maintnce fitter | GCSE grades A*-C or equivalent | 26 | Male | Other qualification | 0
Security guards and rel occupations | GCSE grades A*-C or equivalent | 51 | Male | Other qualification | 0
Leisure and theme park attendants | GCSE grades A*-C or equivalent | 18 | Male | Other qualification | 0
Bar staff | Other qualification | 21 | Female | Degree or equivalent | 0
Civil engineers | Degree or equivalent | 23 | Male | GCSE grades A*-C or equivalent | 0
Cleaners, domestics | GCSE grades A*-C or equivalent | 38 | Female | Other qualification | 0
NCOs and other ranks | Other qualification | 39 | Male | Other qualification | 1
Sales and retail assistants | Degree or equivalent | 65 | Male | Other qualification | 0
Sales representatives | GCSE grades A*-C or equivalent | 33 | Female | Other qualification | 0
Personnel & ind relations offs | GCSE grades A*-C or equivalent | 31 | Male | Other qualification | 0
Chemists | Higher education | 40 | Female | Degree or equivalent | 0
Heavy goods vehicle drivers | Other qualification | 38 | Male | Other qualification | 1
Accnts wages clerk, bookkeeper | GCSE grades A*-C or equivalent | 64 | Male | Other qualification | 0
Fork-lift truck drivers | GCSE grades A*-C or equivalent | 32 | Male | Other qualification | 0
Electrical engineers | GCSE grades A*-C or equivalent | 27 | Male | GCSE grades A*-C or equivalent | 1
Sales and retail assistants | GCSE grades A*-C or equivalent | 51 | Female | Other qualification | 0
Hospital porters | GCE A level or equivalent | 48 | Male | Other qualification | 0
Storage and warehouse managers | Higher education | 40 | Female | Other qualification | 0
Paper and wood machine operatives | Other qualification | 43 | Male | Other qualification | 1
IT strategy and planning prfsnals | Degree or equivalent | 44 | Male | Other qualification | 0
Pers training & ind rel mngers | Higher education | 39 | Male | Other qualification | 0
IT user support technicians | Degree or equivalent | 26 | Male | Degree or equivalent | 1
Social workers | Degree or equivalent | 27 | Female | Degree or equivalent | 1
Electrical & electronic technicians | Other qualification | 24 | Male | Degree or equivalent | 0
Waiters, waitresses | Other qualification | 24 | Female | Other qualification | 1
Nursery nurses | Degree or equivalent | 57 | Female | Other qualification | 0
IT operations technicians | Degree or equivalent | 19 | Male | Degree or equivalent | 1
Nurses | Degree or equivalent | 52 | Female | Degree or equivalent | 1
Town planners | Degree or equivalent | 34 | Male | Degree or equivalent | 1
Software professionals | Degree or equivalent | 25 | Male | Degree or equivalent | 1
Metal working machine operatives | Degree or equivalent | 27 | Male | Other qualification | 0
Receptionists | Degree or equivalent | 33 | Female | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 44 | Female | Other qualification | 0
Vocatn & indust trainrs & instrctrs | Degree or equivalent | 44 | Male | Other qualification | 0
Leisure and sports managers | GCSE grades A*-C or equivalent | 40 | Male | Degree or equivalent | 0
Bio scientists and biochemists | Degree or equivalent | 34 | Female | Other qualification | 0
Labrs process & plant opertns nec. | Other qualification | 58 | Male | Other qualification | 1
Labrs process & plant opertns nec. | Other qualification | 25 | Male | Other qualification | 1
Mtl working prod & maintnce fitter | GCE A level or equivalent | 24 | Male | Other qualification | 0
Nurses | Degree or equivalent | 41 | Female | Degree or equivalent | 1
Dental nurses | Other qualification | 37 | Female | GCSE grades A*-C or equivalent | 0
Labrers build & woodworking trades | Other qualification | 32 | Male | Other qualification | 1
Software professionals | Degree or equivalent | 30 | Male | Degree or equivalent | 1
Nurses | Degree or equivalent | 34 | Female | Degree or equivalent | 1
Storage and warehouse managers | Higher education | 36 | Male | Other qualification | 0
Higher educ teaching prfsnals | Degree or equivalent | 52 | Female | Other qualification | 0
Higher educ teaching prfsnals | Degree or equivalent | 56 | Male | Other qualification | 0
Customer care occupations | GCE A level or equivalent | 20 | Male | Other qualification | 0
NCOs and other ranks | Higher education | 56 | Male | Other qualification | 0
Nurses | Higher education | 42 | Female | Degree or equivalent | 0
Heavy goods vehicle drivers | GCSE grades A*-C or equivalent | 49 | Male | Other qualification | 0
Oth good hndlng & storage occup nec | Higher education | 29 | Female | Other qualification | 0
Packers, bottlers, canners, fillers | Higher education | 22 | Male | Other qualification | 0
Engineering technicians | GCE A level or equivalent | 37 | Male | GCSE grades A*-C or equivalent | 0
Aircraft pilots and flight enginrs | Degree or equivalent | 48 | Male | Other qualification | 0
Office managers | GCSE grades A*-C or equivalent | 43 | Female | Degree or equivalent | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 17 | Female | Other qualification | 0
Nursing auxiliaries and assistants | GCE A level or equivalent | 27 | Male | Other qualification | 0
Communication operators | GCSE grades A*-C or equivalent | 27 | Female | GCSE grades A*-C or equivalent | 1
Nurses | Higher education | 60 | Female | Degree or equivalent | 0
Nurses | Degree or equivalent | 51 | Female | Degree or equivalent | 1
Prim & nurs eductn teaching profs | Degree or equivalent | 22 | Female | Other qualification | 0
Transport and distribution clerks | GCE A level or equivalent | 38 | Male | Other qualification | 0
Senior officials in national gov | Degree or equivalent | 61 | Male | Other qualification | 0
Receptionists | Degree or equivalent | 61 | Female | Other qualification | 0
IT strategy and planning prfsnals | Higher education | 31 | Male | Other qualification | 0
Info & communication technol mngers | Degree or equivalent | 28 | Female | Other qualification | 0
Retail cashiers/check-out operators | Other qualification | 63 | Female | Other qualification | 1
Secondary eductn teaching prfsnals | Degree or equivalent | 36 | Female | GCSE grades A*-C or equivalent | 0
Security guards and rel occupations | GCE A level or equivalent | 37 | Male | Other qualification | 0
Care assistants and home carers | GCE A level or equivalent | 29 | Female | Other qualification | 0
Science & eng technicians n.e.c. | GCE A level or equivalent | 33 | Male | Other qualification | 0
Mngers and prop. In other srvcs NEC | Degree or equivalent | 37 | Female | Other qualification | 0
Pers training & ind rel mngers | Degree or equivalent | 42 | Female | Other qualification | 0
Research and development managers | Degree or equivalent | 51 | Male | Degree or equivalent | 1
Prod. works & maintenance managers | Degree or equivalent | 36 | Female | Other qualification | 0
Retail and wholesale managers | Higher education | 39 | Male | Degree or equivalent | 0
Nurses | Degree or equivalent | 64 | Female | Degree or equivalent | 1
Software professionals | GCSE grades A*-C or equivalent | 32 | Male | Degree or equivalent | 0
Sales and retail assistants | GCE A level or equivalent | 35 | Female | Other qualification | 0
Purchasing managers | GCSE grades A*-C or equivalent | 59 | Male | GCSE grades A*-C or equivalent | 1
Motor mechanics, auto engineers | GCSE grades A*-C or equivalent | 40 | Male | Other qualification | 0
School mid-day assistants | GCSE grades A*-C or equivalent | 33 | Female | Other qualification | 0
Restaurant and catering managers | GCE A level or equivalent | 43 | Male | Other qualification | 0
Glss & cermic mkr, decortr, finshr | GCSE grades A*-C or equivalent | 18 | Female | Other qualification | 0
Nurses | Degree or equivalent | 54 | Female | Degree or equivalent | 1
IT user support technicians | Degree or equivalent | 46 | Male | Degree or equivalent | 1
Mngmnt cons, actuar, econs & statn | Degree or equivalent | 65 | Male | Other qualification | 0
Higher educ teaching prfsnals | Degree or equivalent | 54 | Male | Other qualification | 0
Receptionists | Degree or equivalent | 25 | Male | Other qualification | 0
General office assistants or clerks | GCSE grades A*-C or equivalent | 23 | Female | GCSE grades A*-C or equivalent | 1
Financial managers & chartered secs | GCSE grades A*-C or equivalent | 53 | Female | Degree or equivalent | 0
Chemical engineers | GCE A level or equivalent | 59 | Male | Degree or equivalent | 0
Prod. works & maintenance managers | Degree or equivalent | 39 | Male | Other qualification | 0
Authors, writers | Degree or equivalent | 51 | Female | Degree or equivalent | 1
Telephone salespersons | GCSE grades A*-C or equivalent | 36 | Male | Other qualification | 0
General office assistants or clerks | Degree or equivalent | 33 | Female | GCSE grades A*-C or equivalent | 0
Researchers n.e.c. | Degree or equivalent | 34 | Male | Other qualification | 0
Heavy goods vehicle drivers | Other qualification | 64 | Male | Other qualification | 1
Medical and dental technicians | Degree or equivalent | 30 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 26 | Female | Other qualification | 0
Medical and dental technicians | Degree or equivalent | 23 | Male | Other qualification | 0
Routine inspectors and testers | Degree or equivalent | 24 | Female | Other qualification | 0
Chartered and certified accountants | Degree or equivalent | 74 | Male | Degree or equivalent | 1
Police offcrs (sergeant and below) | GCSE grades A*-C or equivalent | 39 | Male | Other qualification | 0
Chartered and certified accountants | Degree or equivalent | 41 | Female | Degree or equivalent | 1
Customer care occupations | GCE A level or equivalent | 42 | Female | Other qualification | 0
Mngers and prop. In other srvcs NEC | Degree or equivalent | 44 | Male | Other qualification | 0
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | 45 | Female | Other qualification | 0
Financial managers & chartered secs | Degree or equivalent | 51 | Male | Degree or equivalent | 1
Kitchen and catering assistants | Other qualification | 52 | Female | GCSE grades A*-C or equivalent | 0
Sales and retail assistants | GCSE grades A*-C or equivalent | 37 | Female | Other qualification | 0
Waiters, waitresses | Degree or equivalent | 25 | Female | Other qualification | 0
Quality assurance managers | Degree or equivalent | 63 | Male | Degree or equivalent | 1
School secretaries | Degree or equivalent | 60 | Female | Other qualification | 0
Sales and retail assistants | Other qualification | 42 | Male | Other qualification | 1
Spec needs educ teaching profs | Degree or equivalent | 33 | Male | Other qualification | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 29 | Female | GCSE grades A*-C or equivalent | 0
Marketing and sales managers | Degree or equivalent | 30 | Male | Degree or equivalent | 1
Launderers, dry cleaners, pressers | GCE A level or equivalent | 23 | Female | Other qualification | 0
Heavy goods vehicle drivers | GCE A level or equivalent | 25 | Male | Other qualification | 0
Authors, writers | GCE A level or equivalent | 32 | Male | Degree or equivalent | 0
Officers non-gov organisations | GCE A level or equivalent | 33 | Female | Other qualification | 0
Heavy goods vehicle drivers | Other qualification | 51 | Male | Other qualification | 1
Assemblers (electrical products) | GCE A level or equivalent | 53 | Female | Other qualification | 0
Routine inspectors and testers | Other qualification | 53 | Male | Other qualification | 1
Snr officers fire, amb, prson et al | Higher education | 24 | Male | Other qualification | 0
Mobile machine drivers & operatives | Other qualification | 51 | Male | Other qualification | 1
Horticultural trades | GCE A level or equivalent | 40 | Female | Other qualification | 0
Lab oth const trades n.e.c. | GCSE grades A*-C or equivalent | 36 | Male | Other qualification | 0
Sales and retail assistants | GCE A level or equivalent | 34 | Female | Other qualification | 0
Electricians, electrical fitters | Other qualification | 54 | Male | Other qualification | 1
General office assistants or clerks | GCSE grades A*-C or equivalent | 53 | Female | GCSE grades A*-C or equivalent | 1
Hairdressers, barbers | GCSE grades A*-C or equivalent | 52 | Female | GCSE grades A*-C or equivalent | 1
Prim & nurs eductn teaching profs | Degree or equivalent | 49 | Female | Other qualification | 0
Financial managers & chartered secs | Degree or equivalent | 52 | Male | Degree or equivalent | 1
Hospital and health service mngers | Degree or equivalent | 50 | Female | Other qualification | 0
Info & communication technol mngers | Degree or equivalent | 48 | Male | Other qualification | 0
Pers training & ind rel mngers | GCSE grades A*-C or equivalent | 42 | Female | Other qualification | 0
Medical practitioners | Degree or equivalent | 49 | Female | Other qualification | 0
Prod. works & maintenance managers | Degree or equivalent | 47 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | Other qualification | 63 | Female | Other qualification | 1
Prod. works & maintenance managers | Degree or equivalent | 57 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 37 | Female | Other qualification | 0
Civil Serv admin offcrs and assists | Degree or equivalent | 42 | Female | Other qualification | 0
Electrical engineers | GCE A level or equivalent | 49 | Male | GCSE grades A*-C or equivalent | 0
Nurses | Degree or equivalent | 38 | Female | Degree or equivalent | 1
Nurses | Higher education | 31 | Male | Degree or equivalent | 0
Nurses | Degree or equivalent | 29 | Female | Degree or equivalent | 1
Nurses | Degree or equivalent | 40 | Female | Degree or equivalent | 1
Paper and wood machine operatives | GCE A level or equivalent | 67 | Male | Other qualification | 0
Retail cashiers/check-out operators | GCSE grades A*-C or equivalent | 66 | Female | Other qualification | 0
Managers in construction | Other qualification | 52 | Male | Other qualification | 1
Researchers n.e.c. | GCE A level or equivalent | 31 | Male | Other qualification | 0
Advertising & public rel managers | Degree or equivalent | 28 | Female | Other qualification | 0
Draughtspersons | GCE A level or equivalent | 40 | Male | Degree or equivalent | 0
Marketing and sales managers | Degree or equivalent | 39 | Female | Degree or equivalent | 1
Financial and accounting techs | Degree or equivalent | 43 | Female | Other qualification | 0
Personnel & ind relations offs | Degree or equivalent | 49 | Female | Other qualification | 0
Marketing and sales managers | Degree or equivalent | 44 | Male | Degree or equivalent | 1
Financial managers & chartered secs | Higher education | 63 | Female | Degree or equivalent | 0
Chartered and certified accountants | Degree or equivalent | 30 | Male | Degree or equivalent | 1
Researchers n.e.c. | GCE A level or equivalent | 30 | Female | Other qualification | 0
Estimators, valuers and assessors | Higher education | 62 | Male | Other qualification | 0
Fin. & invest. analyst & advisers | Higher education | 54 | Female | Other qualification | 0
Vocatn & indust trainrs & instrctrs | Degree or equivalent | 55 | Male | Other qualification | 0
Electricians, electrical fitters | GCE A level or equivalent | 19 | Male | Other qualification | 0
Inspcts fact, utils & trdng stndrds | Degree or equivalent | 46 | Male | Other qualification | 0
Call centre agents & operators | GCE A level or equivalent | 31 | Male | Other qualification | 0
Sales and retail assistants | GCE A level or equivalent | 21 | Male | Other qualification | 0
Nurses | Degree or equivalent | 53 | Female | Degree or equivalent | 1
Heavy goods vehicle drivers | GCE A level or equivalent | 56 | Male | Other qualification | 0
Sales and retail assistants | Other qualification | 36 | Female | Other qualification | 1
Public service administrative profs | Degree or equivalent | 56 | Female | Other qualification | 0
Sales and retail assistants | GCE A level or equivalent | 48 | Female | Other qualification | 0
Retail and wholesale managers | Higher education | 27 | Male | Degree or equivalent | 0
Nurses | Degree or equivalent | 45 | Female | Degree or equivalent | 1
Secondary eductn teaching prfsnals | Degree or equivalent | 46 | Male | GCSE grades A*-C or equivalent | 0
Vocatn & indust trainrs & instrctrs | Degree or equivalent | 24 | Female | Other qualification | 0
Waiters, waitresses | GCE A level or equivalent | 19 | Female | Other qualification | 0
Typists | GCE A level or equivalent | 35 | Male | Other qualification | 0
Financial and accounting techs | Degree or equivalent | 34 | Female | Other qualification | 0
Nursery nurses | GCSE grades A*-C or equivalent | 22 | Female | Other qualification | 0
Chefs, cooks | GCSE grades A*-C or equivalent | 35 | Female | Other qualification | 0
Publicans & managrs licensed prmses | GCSE grades A*-C or equivalent | 49 | Female | Other qualification | 0
Bar staff | Degree or equivalent | 49 | Male | Degree or equivalent | 1
Production and process engineers | Degree or equivalent | 38 | Female | Degree or equivalent | 1
Hospital and health service mngers | Higher education | 56 | Female | Other qualification | 0
Childminders and rel occupations | Higher education | 25 | Female | Other qualification | 0
Personnel & ind relations offs | Degree or equivalent | 29 | Female | Other qualification | 0
IT operations technicians | GCE A level or equivalent | 33 | Male | Degree or equivalent | 0
Heavy goods vehicle drivers | Higher education | 53 | Male | Other qualification | 0
Packers, bottlers, canners, fillers | Higher education | 39 | Female | Other qualification | 0
Cleaners, domestics | Other qualification | 65 | Female | Other qualification | 1
Brokers | Degree or equivalent | 42 | Male | Other qualification | 0
Retail cashiers/check-out operators | GCSE grades A*-C or equivalent | 62 | Female | Other qualification | 0
Heavy goods vehicle drivers | Other qualification | 63 | Male | Other qualification | 1
Filng & othr recrds assists & clrks | Degree or equivalent | 33 | Female | Other qualification | 0
Mngmnt cons, actuar, econs & statn | Degree or equivalent | 34 | Male | Other qualification | 0
educal assistants | Degree or equivalent | 61 | Female | Degree or equivalent | 1
Sports coaches, instruc & officials | Degree or equivalent | 57 | Female | Other qualification | 0
Medical practitioners | Higher education | 36 | Female | Other qualification | 0
Fork-lift truck drivers | Other qualification | 37 | Male | Other qualification | 1
Travel agents | Higher education | 38 | Female | Degree or equivalent | 0
Pers training & ind rel mngers | GCSE grades A*-C or equivalent | 38 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 35 | Female | Other qualification | 0
Energy plant operatives | GCSE grades A*-C or equivalent | 38 | Male | Other qualification | 0
Mngmnt cons, actuar, econs & statn | Degree or equivalent | 45 | Male | Other qualification | 0
Mtl working prod & maintnce fitter | Degree or equivalent | 28 | Male | Other qualification | 0
Care assistants and home carers | Degree or equivalent | 56 | Female | Other qualification | 0
educal assistants | GCE A level or equivalent | 41 | Male | Degree or equivalent | 0
Marketing associate professionals | GCSE grades A*-C or equivalent | 41 | Female | Degree or equivalent | 0
IT operations technicians | GCSE grades A*-C or equivalent | 57 | Male | Degree or equivalent | 0
General office assistants or clerks | Other qualification | 43 | Female | GCSE grades A*-C or equivalent | 0
Bar staff | GCE A level or equivalent | 17 | Female | Degree or equivalent | 0
Mngers and prop. In other srvcs NEC | Degree or equivalent | 45 | Male | Other qualification | 0
Lines repairers and cable jointers | GCSE grades A*-C or equivalent | 39 | Male | Other qualification | 0
Nurses | Degree or equivalent | 35 | Female | Degree or equivalent | 1
Kitchen and catering assistants | GCE A level or equivalent | 28 | Male | GCSE grades A*-C or equivalent | 0
Kitchen and catering assistants | GCSE grades A*-C or equivalent | 47 | Female | GCSE grades A*-C or equivalent | 1
Storage and warehouse managers | GCSE grades A*-C or equivalent | 47 | Male | Other qualification | 0
Accnts wages clerk, bookkeeper | GCE A level or equivalent | 19 | Male | Other qualification | 0
educal assistants | GCSE grades A*-C or equivalent | 58 | Female | Degree or equivalent | 0
Housing and welfare officers | Other qualification | 64 | Male | Degree or equivalent | 0
Metal mach setter & setter-operator | GCE A level or equivalent | 41 | Male | Other qualification | 0
Social workers | Degree or equivalent | 46 | Female | Degree or equivalent | 1
Business & related assoc profs nec. | Degree or equivalent | 43 | Male | Other qualification | 0
Mngmnt cons, actuar, econs & statn | GCE A level or equivalent | 46 | Male | Other qualification | 0
Kitchen and catering assistants | GCSE grades A*-C or equivalent | 45 | Female | GCSE grades A*-C or equivalent | 1
General office assistants or clerks | Degree or equivalent | 28 | Female | GCSE grades A*-C or equivalent | 0
Software professionals | Degree or equivalent | 31 | Male | Degree or equivalent | 1
Broadcasting associate prfssnals | Degree or equivalent | 49 | Male | Degree or equivalent | 1
Physiotherapists | Degree or equivalent | 42 | Female | Other qualification | 0
Solic & lawyers, judges & coroners | Degree or equivalent | 41 | Male | Other qualification | 0
Higher educ teaching prfsnals | Degree or equivalent | 40 | Female | Other qualification | 0
Counter clerks | GCE A level or equivalent | 66 | Female | Other qualification | 0
Accnts wages clerk, bookkeeper | Higher education | 59 | Female | Other qualification | 0
Managers in construction | Higher education | 58 | Male | Other qualification | 0
Buyers and purchasing officers | Degree or equivalent | 27 | Female | Other qualification | 0
Marketing associate professionals | Degree or equivalent | 30 | Male | Degree or equivalent | 1
Secondary eductn teaching prfsnals | Degree or equivalent | 31 | Male | GCSE grades A*-C or equivalent | 0
Estimators, valuers and assessors | Degree or equivalent | 49 | Female | Other qualification | 0
Building inspectors | Degree or equivalent | 54 | Male | Degree or equivalent | 1
Sports coaches, instruc & officials | GCE A level or equivalent | 52 | Female | Other qualification | 0
Labrers build & woodworking trades | Other qualification | 20 | Male | Other qualification | 1
Mngmnt cons, actuar, econs & statn | Degree or equivalent | 46 | Female | Other qualification | 0
Chartered and certified accountants | Degree or equivalent | 37 | Male | Degree or equivalent | 1
Lab oth const trades n.e.c. | GCE A level or equivalent | 31 | Male | Other qualification | 0
Nurses | Degree or equivalent | 31 | Female | Degree or equivalent | 1
Social workers | Degree or equivalent | 47 | Female | Degree or equivalent | 1
Care assistants and home carers | GCSE grades A*-C or equivalent | 28 | Female | Other qualification | 0
Purchasing managers | Degree or equivalent | 54 | Male | GCSE grades A*-C or equivalent | 0
Mechanical engineers | Degree or equivalent | 47 | Male | Degree or equivalent | 1
Secondary eductn teaching prfsnals | Degree or equivalent | 43 | Female | GCSE grades A*-C or equivalent | 0
Veterinarians | Degree or equivalent | 55 | Female | Other qualification | 0
Farmers | GCSE grades A*-C or equivalent | 52 | Male | Degree or equivalent | 0
IT operations technicians | GCSE grades A*-C or equivalent | 59 | Male | Degree or equivalent | 0
Plant and machine operatives n.e.c. | GCE A level or equivalent | 26 | Male | Other qualification | 0
Childminders and rel occupations | Degree or equivalent | 28 | Female | Other qualification | 0
Care assistants and home carers | GCE A level or equivalent | 31 | Female | Other qualification | 0
Care assistants and home carers | GCE A level or equivalent | 32 | Male | Other qualification | 0
Pers training & ind rel mngers | Degree or equivalent | 51 | Male | Other qualification | 0
Cleaners, domestics | GCSE grades A*-C or equivalent | 65 | Female | Other qualification | 0
Speech and language therapists | Degree or equivalent | 34 | Female | GCSE grades A*-C or equivalent | 0
Engineering professionals n.e.c. | GCE A level or equivalent | 35 | Male | Other qualification | 0
Mtl working prod & maintnce fitter | GCE A level or equivalent | 26 | Male | Other qualification | 0
General office assistants or clerks | Degree or equivalent | 64 | Male | GCSE grades A*-C or equivalent | 0
Personal assists & othr secretaries | GCE A level or equivalent | 48 | Female | Other qualification | 0
Authors, writers | Degree or equivalent | 51 | Male | Degree or equivalent | 1
Pers training & ind rel mngers | Degree or equivalent | 47 | Female | Other qualification | 0
Care assistants and home carers | GCE A level or equivalent | 38 | Female | Other qualification | 0
Cleaners, domestics | GCE A level or equivalent | 55 | Male | Other qualification | 0
Science & eng technicians n.e.c. | GCSE grades A*-C or equivalent | 43 | Male | Other qualification | 0
Cleaners, domestics | Higher education | 39 | Female | Other qualification | 0
Cleaners, domestics | GCE A level or equivalent | 19 | Female | Other qualification | 0
Sales and retail assistants | GCE A level or equivalent | 58 | Female | Other qualification | 0
Architects | Degree or equivalent | 39 | Male | Degree or equivalent | 1
Research and development managers | Higher education | 63 | Male | Degree or equivalent | 0
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | 60 | Female | Other qualification | 0
Retail and wholesale managers | Degree or equivalent | 53 | Male | Degree or equivalent | 1
Nurses | Degree or equivalent | 51 | Female | Degree or equivalent | 1
Sales and retail assistants | Degree or equivalent | 27 | Female | Other qualification | 0
Property, housing and land managers | GCE A level or equivalent | 73 | Male | Other qualification | 0
Company secretaries | Other qualification | 75 | Female | Degree or equivalent | 0
Managers in construction | Degree or equivalent | 61 | Male | Other qualification | 0
Civil Serv admin offcrs and assists | Degree or equivalent | 59 | Female | Other qualification | 0
educal assistants | Higher education | 30 | Female | Degree or equivalent | 0
Restaurant and catering managers | Degree or equivalent | 31 | Male | Other qualification | 0
Conservat & environ protection offs | Degree or equivalent | 57 | Male | Other qualification | 0
Mtl working prod & maintnce fitter | Higher education | 75 | Male | Other qualification | 0
Nurses | Degree or equivalent | 66 | Female | Degree or equivalent | 1
educal assistants | GCE A level or equivalent | 30 | Female | Degree or equivalent | 0
Pipe fitters | GCSE grades A*-C or equivalent | 34 | Male | Other qualification | 0
Engineering professionals n.e.c. | Degree or equivalent | 38 | Male | Other qualification | 0
Personnel & ind relations offs | Degree or equivalent | 37 | Female | Other qualification | 0
Software professionals | GCE A level or equivalent | 52 | Male | Degree or equivalent | 0
Youth and community workers | Degree or equivalent | 55 | Female | Degree or equivalent | 1
Heavy goods vehicle drivers | Other qualification | 51 | Male | Other qualification | 1
Travel and tour guides | Degree or equivalent | 65 | Female | Other qualification | 0
Prod. works & maintenance managers | GCSE grades A*-C or equivalent | 55 | Female | Other qualification | 0
Counter clerks | GCSE grades A*-C or equivalent | 57 | Male | Other qualification | 0
Civil engineers | Other qualification | 50 | Male | GCSE grades A*-C or equivalent | 0
Heavy goods vehicle drivers | Other qualification | 54 | Male | Other qualification | 1
Secondary eductn teaching prfsnals | Degree or equivalent | 24 | Female | GCSE grades A*-C or equivalent | 0
Mobile machine drivers & operatives | Other qualification | 62 | Male | Other qualification | 1
Medical practitioners | Degree or equivalent | 50 | Male | Other qualification | 0
Nurses | Higher education | 51 | Female | Degree or equivalent | 0
Financial managers & chartered secs | Higher education | 57 | Female | Degree or equivalent | 0
Playgroup leaders & assistants | Degree or equivalent | 22 | Female | Other qualification | 0
Prod. works & maintenance managers | Degree or equivalent | 56 | Male | Other qualification | 0
Business & related assoc profs nec. | GCSE grades A*-C or equivalent | 55 | Male | Other qualification | 0
Filng & othr recrds assists & clrks | Degree or equivalent | 50 | Female | Other qualification | 0
Cleaners, domestics | Other qualification | 61 | Female | Other qualification | 1
Oth good hndlng & storage occup nec | Other qualification | 58 | Male | Other qualification | 1
Financial managers & chartered secs | Degree or equivalent | 53 | Female | Degree or equivalent | 1
Receptionists | GCSE grades A*-C or equivalent | 53 | Female | Other qualification | 0
Mngers and prop. In other srvcs NEC | Degree or equivalent | 40 | Male | Other qualification | 0
Pers training & ind rel mngers | GCE A level or equivalent | 33 | Female | Other qualification | 0
Air travel assistants | GCSE grades A*-C or equivalent | 56 | Male | Other qualification | 0
Directors & chief execs of maj orgs | Degree or equivalent | 35 | Female | Other qualification | 0
Prod. works & maintenance managers | Degree or equivalent | 39 | Male | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 64 | Female | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 37 | Female | Other qualification | 0
Electricians, electrical fitters | GCSE grades A*-C or equivalent | 18 | Male | Other qualification | 0
Research and development managers | Other qualification | 39 | Male | Degree or equivalent | 0
Prod. works & maintenance managers | Degree or equivalent | 62 | Male | Other qualification | 0
Bus and coach drivers | GCSE grades A*-C or equivalent | 57 | Male | Other qualification | 0
Property, housing and land managers | GCE A level or equivalent | 31 | Male | Other qualification | 0
Prod. works & maintenance managers | GCE A level or equivalent | 49 | Male | Other qualification | 0
Stock control clerks | GCSE grades A*-C or equivalent | 39 | Female | Other qualification | 0
Prim & nurs eductn teaching profs | Degree or equivalent | 48 | Female | Other qualification | 0
Transport and distribution managers | Other qualification | 52 | Male | Degree or equivalent | 0
Bar staff | GCSE grades A*-C or equivalent | 18 | Female | Degree or equivalent | 0
Mechanical engineers | Other qualification | 51 | Male | Degree or equivalent | 0
Secondary eductn teaching prfsnals | Degree or equivalent | 46 | Female | GCSE grades A*-C or equivalent | 0
Housing and welfare officers | GCSE grades A*-C or equivalent | 68 | Female | Degree or equivalent | 0
Welding trades | Other qualification | 55 | Male | Other qualification | 1
Sales and retail assistants | Higher education | 44 | Female | Other qualification | 0
Glss & cermic mkr, decortr, finshr | GCE A level or equivalent | 43 | Male | Other qualification | 0
Fin. & invest. analyst & advisers | Degree or equivalent | 36 | Male | Other qualification | 0
Info & communication technol mngers | Degree or equivalent | 40 | Male | Other qualification | 0
Bus and coach drivers | GCE A level or equivalent | 43 | Female | Other qualification | 0
educal assistants | Degree or equivalent | 49 | Female | Degree or equivalent | 1
Waiters, waitresses | GCSE grades A*-C or equivalent | 16 | Female | Other qualification | 0
Mngers and prop. In other srvcs NEC | Degree or equivalent | 59 | Male | Other qualification | 0
Pers training & ind rel mngers | Degree or equivalent | 54 | Female | Other qualification | 0
Accnts wages clerk, bookkeeper | GCE A level or equivalent | 41 | Female | Other qualification | 0
Marketing and sales managers | Degree or equivalent | 40 | Male | Degree or equivalent | 1
Info & communication technol mngers | Degree or equivalent | 54 | Male | Other qualification | 0
Marketing and sales managers | GCSE grades A*-C or equivalent | 50 | Female | Degree or equivalent | 0
Managers in construction | Degree or equivalent | 59 | Male | Other qualification | 0
Nurses | Higher education | 28 | Female | Degree or equivalent | 0
Sports and leisure assistants | Degree or equivalent | 49 | Female | GCSE grades A*-C or equivalent | 0
Occupational therapists | Degree or equivalent | 35 | Female | Degree or equivalent | 1
Youth and community workers | Degree or equivalent | 24 | Female | Degree or equivalent | 1
Oth good hndlng & storage occup nec | GCE A level or equivalent | 28 | Male | Other qualification | 0
Bar staff | Degree or equivalent | 29 | Male | Degree or equivalent | 1
Managers in construction | Degree or equivalent | 52 | Male | Other qualification | 0
Nurses | Higher education | 52 | Female | Degree or equivalent | 0
Financial managers & chartered secs | Degree or equivalent | 49 | Male | Degree or equivalent | 1
Prec instrument makers & repairers | GCE A level or equivalent | 53 | Male | Other qualification | 0
School mid-day assistants | Other qualification | 48 | Female | Other qualification | 1
