Job Title | Survey | Online
Nursery nurses | GCSE grades A*-C or equivalent | Other qualification
Accnts wages clerk bookkeeper | Higher education | Other qualification
Nurses | Higher education | Degree or equivalent
Pharmacy managers | Degree or equivalent | Degree or equivalent
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Prod works  maintenance managers | Other qualification | Other qualification
Farm managers | Higher education | GCSE grades A*-C or equivalent
Transport and distribution clerks | Other qualification | Other qualification
Food drink  tobac process operat | Other qualification | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Heavy goods vehicle drivers | GCE A level or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Welding trades | GCE A level or equivalent | Other qualification
Roofers roof tilers and slaters | Other qualification | Other qualification
Food drink  tobac process operat | Other qualification | Other qualification
Fishng  agric reltd occupatns nec | Other qualification | Other qualification
Stock control clerks | GCSE grades A*-C or equivalent | Other qualification
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Nurses | Higher education | Degree or equivalent
Receptionists | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Garage managers and proprietors | Degree or equivalent | Other qualification
Design and development engineers | Degree or equivalent | Degree or equivalent
Medical radiographers | Degree or equivalent | Other qualification
Metal working machine operatives | GCSE grades A*-C or equivalent | Other qualification
Elementary office occupatns nec | Other qualification | Other qualification
Estimators valuers and assessors | Degree or equivalent | Other qualification
Legal associate professionals | Degree or equivalent | Other qualification
Kitchen and catering assistants | Degree or equivalent | GCSE grades A*-C or equivalent
Info  communication technol mngers | Degree or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Office managers | GCE A level or equivalent | Degree or equivalent
Accnts wages clerk bookkeeper | GCSE grades A*-C or equivalent | Other qualification
Mtl mkng  treating procss operatve | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | Higher education | GCSE grades A*-C or equivalent
Mngers and prop In other srvcs NEC | GCSE grades A*-C or equivalent | Other qualification
Housing and welfare officers | Degree or equivalent | Degree or equivalent
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Sales related occupations nec | GCSE grades A*-C or equivalent | Other qualification
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Cleaners domestics | Other qualification | Other qualification
Sheet metal workers | Other qualification | Other qualification
Restaurant and catering managers | GCE A level or equivalent | Other qualification
Fitness instructors | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Office managers | GCE A level or equivalent | Degree or equivalent
Civil Serv admin offcrs and assists | Other qualification | Other qualification
Mobile machine drivers  operatives | GCE A level or equivalent | Other qualification
Printers | GCSE grades A*-C or equivalent | Other qualification
Paramedics | Higher education | Other qualification
Medical secretaries | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Storage and warehouse managers | GCE A level or equivalent | Other qualification
Nurses | Degree or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Filng  othr recrds assists  clrks | GCE A level or equivalent | Other qualification
Stevadores dockers and slingers | GCE A level or equivalent | Other qualification
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Chefs cooks | Other qualification | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Directors  chief execs of maj orgs | Other qualification | Other qualification
Financial managers  chartered secs | GCSE grades A*-C or equivalent | Degree or equivalent
Sales and retail assistants | Higher education | Other qualification
IT operations technicians | GCE A level or equivalent | Degree or equivalent
Mtl working prod  maintnce fitter | GCSE grades A*-C or equivalent | Other qualification
Teaching professionals nec | Degree or equivalent | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
Build  civil eng technicians | GCE A level or equivalent | Other qualification
Quality assurance technicians | Degree or equivalent | Degree or equivalent
Mngers and prop In other srvcs NEC | Higher education | Other qualification
Quarry workers and related oprtives | GCSE grades A*-C or equivalent | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
Hairdressers barbers | GCE A level or equivalent | GCSE grades A*-C or equivalent
Sales and retail assistants | Other qualification | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Gardeners and groundswomen | Other qualification | Other qualification
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
Marketing and sales managers | Higher education | Degree or equivalent
Ophthalmic opticians | GCE A level or equivalent | Other qualification
Heavy goods vehicle drivers | GCE A level or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Sales and retail assistants | Degree or equivalent | Other qualification
Carpenters and joiners | GCE A level or equivalent | Other qualification
Plastics process operatives | Other qualification | Other qualification
Office managers | GCSE grades A*-C or equivalent | Degree or equivalent
Crane drivers | Other qualification | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
Sales and retail assistants | GCE A level or equivalent | Other qualification
Police offcrs sergeant and below | Degree or equivalent | Other qualification
Solic  lawyers judges  coroners | Degree or equivalent | Other qualification
Housing and welfare officers | GCE A level or equivalent | Degree or equivalent
Typists | Other qualification | Other qualification
Sales representatives | GCE A level or equivalent | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Mngers and prop In other srvcs NEC | Other qualification | Other qualification
Bar staff | GCE A level or equivalent | Degree or equivalent
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Food drink  tobac process operat | GCE A level or equivalent | Other qualification
Pers training  ind rel mngers | Other qualification | Other qualification
Property housing and land managers | GCSE grades A*-C or equivalent | Other qualification
Office managers | GCSE grades A*-C or equivalent | Degree or equivalent
Fire serv off leading off  below | GCE A level or equivalent | Other qualification
Directors  chief execs of maj orgs | Degree or equivalent | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
Prison serv off below princ off | Degree or equivalent | Other qualification
Storage and warehouse managers | Other qualification | Other qualification
Housing and welfare officers | Degree or equivalent | Degree or equivalent
Engineering professionals nec | Other qualification | Other qualification
Transport and distribution clerks | Other qualification | Other qualification
Labrs process  plant opertns nec | Other qualification | Other qualification
Air travel assistants | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Beauticians and related occupations | GCE A level or equivalent | Other qualification
Care assistants and home carers | Other qualification | Other qualification
Food drink  tobac process operat | GCE A level or equivalent | Other qualification
Care assistants and home carers | Higher education | Other qualification
Info  communication technol mngers | GCSE grades A*-C or equivalent | Other qualification
Leisure  travel serv occuptns nec | GCSE grades A*-C or equivalent | Other qualification
Managers in construction | Higher education | Other qualification
Prod works  maintenance managers | GCSE grades A*-C or equivalent | Other qualification
Conference and exhibition managers | GCE A level or equivalent | Other qualification
Fin  invest analyst  advisers | Degree or equivalent | Other qualification
Design and development engineers | Degree or equivalent | Degree or equivalent
Telephone salespersons | Degree or equivalent | Other qualification
Social workers | Degree or equivalent | Degree or equivalent
Gardeners and groundswomen | GCSE grades A*-C or equivalent | Other qualification
Info  communication technol mngers | Degree or equivalent | Other qualification
Van drivers | GCSE grades A*-C or equivalent | Other qualification
Retail cashierscheckout operators | Other qualification | Other qualification
IT operations technicians | Higher education | Degree or equivalent
Mechanical engineers | GCE A level or equivalent | Degree or equivalent
Credit controllers | GCSE grades A*-C or equivalent | Degree or equivalent
Elec  electronic engineer nec | GCE A level or equivalent | Other qualification
Housekprs and related occupations | GCSE grades A*-C or equivalent | Other qualification
Labrers build  woodworking trades | GCSE grades A*-C or equivalent | Other qualification
Cleaners domestics | Other qualification | Other qualification
Oth good hndlng  storage occup nec | Higher education | Other qualification
Fin  invest analyst  advisers | GCSE grades A*-C or equivalent | Other qualification
School crossing patrol attendants | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
Purchasing managers | Other qualification | GCSE grades A*-C or equivalent
Accnts wages clerk bookkeeper | Degree or equivalent | Other qualification
Carpenters and joiners | Higher education | Other qualification
Carpenters and joiners | GCSE grades A*-C or equivalent | Other qualification
Kitchen and catering assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Chefs cooks | GCE A level or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Financial managers  chartered secs | Degree or equivalent | Degree or equivalent
Mtl working prod  maintnce fitter | Higher education | Other qualification
Packers bottlers canners fillers | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Routine inspectors and testers | Higher education | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Filng  othr recrds assists  clrks | Higher education | Other qualification
Prod works  maintenance managers | Degree or equivalent | Other qualification
Gardeners and groundswomen | GCE A level or equivalent | Other qualification
educal assistants | Degree or equivalent | Degree or equivalent
Packers bottlers canners fillers | Higher education | Other qualification
Counter clerks | GCE A level or equivalent | Other qualification
Call centre agents  operators | GCSE grades A*-C or equivalent | Other qualification
Nurses | GCSE grades A*-C or equivalent | Degree or equivalent
Telephone salespersons | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Chartered and certified accountants | Degree or equivalent | Degree or equivalent
Sports and leisure assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Financial institution managers | GCSE grades A*-C or equivalent | Degree or equivalent
Elec  electronic engineer nec | Degree or equivalent | Other qualification
Research and development managers | Degree or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Sports and leisure assistants | GCE A level or equivalent | GCSE grades A*-C or equivalent
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Managers in construction | GCSE grades A*-C or equivalent | Other qualification
Info  communication technol mngers | GCE A level or equivalent | Other qualification
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Roofers roof tilers and slaters | GCSE grades A*-C or equivalent | Other qualification
Software professionals | Degree or equivalent | Degree or equivalent
Labrers build  woodworking trades | Higher education | Other qualification
Retail and wholesale managers | GCE A level or equivalent | Degree or equivalent
Sales and retail assistants | GCE A level or equivalent | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Assemblers and routine oprtves nec | Higher education | Other qualification
Shelf fillers | Other qualification | Other qualification
Food drink  tobac process operat | Other qualification | Other qualification
Cleaners domestics | Degree or equivalent | Other qualification
Printers | GCE A level or equivalent | Other qualification
Legal secretaries | GCE A level or equivalent | Other qualification
Security guards and rel occupations | GCE A level or equivalent | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
Mtl working prod  maintnce fitter | GCSE grades A*-C or equivalent | Other qualification
Nursery nurses | GCSE grades A*-C or equivalent | Other qualification
Travel agency managers | Other qualification | Degree or equivalent
Road sweepers | GCE A level or equivalent | Other qualification
Rail travel assistants | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Bricklayers masons | GCE A level or equivalent | Other qualification
Pers training  ind rel mngers | Other qualification | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Bio scientists and biochemists | Degree or equivalent | Other qualification
Customer care occupations | Degree or equivalent | Other qualification
Post wrkr mail sort msngr courir | GCSE grades A*-C or equivalent | Other qualification
Financial managers  chartered secs | Other qualification | Degree or equivalent
Taxi cab drivers and chauffeurs | GCSE grades A*-C or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Vocatn  indust trainrs  instrctrs | GCE A level or equivalent | Other qualification
Financial managers  chartered secs | GCE A level or equivalent | Degree or equivalent
Veterinary nurses and assistants | GCE A level or equivalent | Other qualification
Construction operatives nec | GCSE grades A*-C or equivalent | Other qualification
Prod works  maintenance managers | Degree or equivalent | Other qualification
Info  communication technol mngers | Degree or equivalent | Other qualification
Researchers nec | Higher education | Other qualification
Oth good hndlng  storage occup nec | Other qualification | Other qualification
Mngmnt cons actuar econs  statn | GCE A level or equivalent | Other qualification
Nursing auxiliaries and assistants | Degree or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Info  communication technol mngers | Other qualification | Other qualification
Tyre exhaust and windscrn fitters | GCSE grades A*-C or equivalent | Other qualification
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | Higher education | GCSE grades A*-C or equivalent
educal assistants | Degree or equivalent | Degree or equivalent
Prod works  maintenance managers | Degree or equivalent | Other qualification
Bus and coach drivers | GCE A level or equivalent | Other qualification
Oth good hndlng  storage occup nec | GCSE grades A*-C or equivalent | Other qualification
Advertising  public rel managers | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCE A level or equivalent | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
Care assistants and home carers | GCE A level or equivalent | Other qualification
Protective servcs assoc prfsnls NEC | Degree or equivalent | Other qualification
Youth and community workers | Degree or equivalent | Degree or equivalent
IT strategy and planning prfsnals | GCSE grades A*-C or equivalent | Other qualification
Info  communication technol mngers | Degree or equivalent | Other qualification
Hotel and accommodation managers | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
Undertakers and mortuary assistants | GCE A level or equivalent | Other qualification
Receptionists | Higher education | Other qualification
Cleaners domestics | Other qualification | Other qualification
Prison serv off below princ off | GCE A level or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Metal working machine operatives | GCE A level or equivalent | Other qualification
Farm workers | GCSE grades A*-C or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Engineering technicians | Higher education | GCSE grades A*-C or equivalent
Care assistants and home carers | Higher education | Other qualification
Bricklayers masons | GCSE grades A*-C or equivalent | Other qualification
Motor mechanics auto engineers | GCE A level or equivalent | Other qualification
Nursing auxiliaries and assistants | Degree or equivalent | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Marketing and sales managers | GCSE grades A*-C or equivalent | Degree or equivalent
Glaziers window fabric and fitters | Higher education | Other qualification
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Housing and welfare officers | GCSE grades A*-C or equivalent | Degree or equivalent
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Transport and distribution managers | GCSE grades A*-C or equivalent | Degree or equivalent
Heavy goods vehicle drivers | Other qualification | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Transport operatives nec | GCE A level or equivalent | Other qualification
Personal assists  othr secretaries | GCSE grades A*-C or equivalent | Other qualification
Marketing and sales managers | Higher education | Degree or equivalent
Hairdressers barbers | GCE A level or equivalent | GCSE grades A*-C or equivalent
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Mngmnt cons actuar econs  statn | Degree or equivalent | Other qualification
Heavy goods vehicle drivers | GCSE grades A*-C or equivalent | Other qualification
General office assistants or clerks | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Mngers and prop In other srvcs NEC | Higher education | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Prison serv off below princ off | GCE A level or equivalent | Other qualification
Call centre agents  operators | GCE A level or equivalent | Other qualification
Taxi cab drivers and chauffeurs | Other qualification | Other qualification
Train drivers | Degree or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Social workers | Degree or equivalent | Degree or equivalent
Nurses | Degree or equivalent | Degree or equivalent
Sales and retail assistants | GCE A level or equivalent | Other qualification
Kitchen and catering assistants | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Prison serv off below princ off | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Mtl working prod  maintnce fitter | GCE A level or equivalent | Other qualification
Architects | Degree or equivalent | Degree or equivalent
TV video and audio engineers | GCE A level or equivalent | Other qualification
Sales and retail assistants | GCE A level or equivalent | Other qualification
Medical practitioners | Degree or equivalent | Other qualification
Youth and community workers | GCE A level or equivalent | Degree or equivalent
Spec needs educ teaching profs | Degree or equivalent | Other qualification
Accnts wages clerk bookkeeper | GCSE grades A*-C or equivalent | Other qualification
Retail and wholesale managers | GCSE grades A*-C or equivalent | Degree or equivalent
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Post wrkr mail sort msngr courir | GCSE grades A*-C or equivalent | Other qualification
Customer care occupations | GCSE grades A*-C or equivalent | Other qualification
Artists | Higher education | Degree or equivalent
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Business  related assoc profs nec | Degree or equivalent | Other qualification
Oth good hndlng  storage occup nec | GCE A level or equivalent | Other qualification
Care assistants and home carers | Other qualification | Other qualification
Marketing and sales managers | GCSE grades A*-C or equivalent | Degree or equivalent
Care assistants and home carers | Higher education | Other qualification
Customer care occupations | Other qualification | Other qualification
Housing and welfare officers | GCE A level or equivalent | Degree or equivalent
Heavy goods vehicle drivers | GCE A level or equivalent | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
Heavy goods vehicle drivers | Other qualification | Other qualification
Routine inspectors and testers | Degree or equivalent | Other qualification
Bus and coach drivers | Degree or equivalent | Other qualification
Oth good hndlng  storage occup nec | GCSE grades A*-C or equivalent | Other qualification
Science  eng technicians nec | Degree or equivalent | Other qualification
Forklift truck drivers | Other qualification | Other qualification
Journalists newsppr  period eds | Degree or equivalent | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
IT strategy and planning prfsnals | Degree or equivalent | Other qualification
Civil Serv admin offcrs and assists | GCSE grades A*-C or equivalent | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
Cleaners domestics | Other qualification | Other qualification
Cleaners domestics | Other qualification | Other qualification
Planning and qlty control engineers | GCSE grades A*-C or equivalent | Degree or equivalent
Local gov clerical offs  assists | Higher education | Other qualification
Kitchen and catering assistants | Other qualification | GCSE grades A*-C or equivalent
Hospital and health service mngers | Degree or equivalent | Other qualification
General office assistants or clerks | Degree or equivalent | GCSE grades A*-C or equivalent
Town planners | Degree or equivalent | Degree or equivalent
Mngers and prop In other srvcs NEC | Degree or equivalent | Other qualification
Undertakers and mortuary assistants | Other qualification | Other qualification
Houseprnts and residential wardens | Degree or equivalent | Other qualification
Credit controllers | Other qualification | Degree or equivalent
Shelf fillers | Other qualification | Other qualification
Plastics process operatives | Other qualification | Other qualification
Research and development managers | Degree or equivalent | Degree or equivalent
Info  communication technol mngers | GCE A level or equivalent | Other qualification
Marketing associate professionals | Degree or equivalent | Degree or equivalent
Retail and wholesale managers | Degree or equivalent | Degree or equivalent
Science  eng technicians nec | GCE A level or equivalent | Other qualification
Chartered and certified accountants | GCE A level or equivalent | Degree or equivalent
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Marketing associate professionals | Other qualification | Degree or equivalent
Pers training  ind rel mngers | Degree or equivalent | Other qualification
Post wrkr mail sort msngr courir | Other qualification | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Sales and retail assistants | Other qualification | Other qualification
Care assistants and home carers | Higher education | Other qualification
Food drink  tobac process operat | Other qualification | Other qualification
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Fin  invest analyst  advisers | GCSE grades A*-C or equivalent | Other qualification
Fire serv off leading off  below | Other qualification | Other qualification
Conference and exhibition managers | Degree or equivalent | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
Science  eng technicians nec | GCE A level or equivalent | Other qualification
Oth good hndlng  storage occup nec | Other qualification | Other qualification
Civil Serv admin offcrs and assists | GCSE grades A*-C or equivalent | Other qualification
Packers bottlers canners fillers | Other qualification | Other qualification
Prod works  maintenance managers | Higher education | Other qualification
Vocatn  indust trainrs  instrctrs | Degree or equivalent | Other qualification
Sales representatives | GCSE grades A*-C or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
General office assistants or clerks | Other qualification | GCSE grades A*-C or equivalent
Marketing and sales managers | Degree or equivalent | Degree or equivalent
Marketing and sales managers | GCE A level or equivalent | Degree or equivalent
Labrers build  woodworking trades | GCSE grades A*-C or equivalent | Other qualification
Police offcrs sergeant and below | Higher education | Other qualification
Financial managers  chartered secs | Degree or equivalent | Degree or equivalent
Graphic designers | Degree or equivalent | Degree or equivalent
Info  communication technol mngers | Degree or equivalent | Other qualification
Air travel assistants | GCE A level or equivalent | Other qualification
Van drivers | Higher education | Other qualification
Hairdressers barbers | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Receptionists | GCE A level or equivalent | Other qualification
Care assistants and home carers | GCSE grades A*-C or equivalent | Other qualification
Electrical engineers | GCSE grades A*-C or equivalent | GCSE grades A*-C or equivalent
Nursing auxiliaries and assistants | GCSE grades A*-C or equivalent | Other qualification
Printers | GCSE grades A*-C or equivalent | Other qualification
Personal assists  othr secretaries | GCE A level or equivalent | Other qualification
Accnts wages clerk bookkeeper | Higher education | Other qualification
Sales related occupations nec | GCSE grades A*-C or equivalent | Other qualification
Customer care occupations | GCE A level or equivalent | Other qualification
Printers | GCSE grades A*-C or equivalent | Other qualification
Heavy goods vehicle drivers | GCE A level or equivalent | Other qualification
Motor mechanics auto engineers | Higher education | Other qualification
IT strategy and planning prfsnals | Degree or equivalent | Other qualification
Amb staff excluding paramedics | GCE A level or equivalent | Other qualification
Oth good hndlng  storage occup nec | Other qualification | Other qualification
Marketing associate professionals | Degree or equivalent | Degree or equivalent
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Sports coaches instruc  officials | GCE A level or equivalent | Other qualification
Info  communication technol mngers | GCSE grades A*-C or equivalent | Other qualification
Retail and wholesale managers | GCE A level or equivalent | Degree or equivalent
Teaching professionals nec | GCE A level or equivalent | Other qualification
Childminders and rel occupations | Degree or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
educal assistants | Degree or equivalent | Degree or equivalent
Nursing auxiliaries and assistants | GCE A level or equivalent | Other qualification
Carpenters and joiners | Other qualification | Other qualification
Chefs cooks | Higher education | Other qualification
Pers training  ind rel mngers | GCE A level or equivalent | Other qualification
Marketing and sales managers | GCSE grades A*-C or equivalent | Degree or equivalent
Prod works  maintenance managers | Degree or equivalent | Other qualification
Secondary eductn teaching prfsnals | Degree or equivalent | GCSE grades A*-C or equivalent
Oth good hndlng  storage occup nec | GCE A level or equivalent | Other qualification
Retail cashierscheckout operators | GCSE grades A*-C or equivalent | Other qualification
Care assistants and home carers | Degree or equivalent | Other qualification
Youth and community workers | GCE A level or equivalent | Degree or equivalent
Brokers | GCSE grades A*-C or equivalent | Other qualification
Retail and wholesale managers | Degree or equivalent | Degree or equivalent
Nursery nurses | GCSE grades A*-C or equivalent | Other qualification
IT operations technicians | Higher education | Degree or equivalent
Pharmaceutical dispensers | GCE A level or equivalent | Degree or equivalent
Electrical  electronic technicians | Other qualification | Degree or equivalent
Customer care occupations | Other qualification | Other qualification
School midday assistants | Other qualification | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
Plastics process operatives | GCSE grades A*-C or equivalent | Other qualification
Accnts wages clerk bookkeeper | Other qualification | Other qualification
educal assistants | GCE A level or equivalent | Degree or equivalent
Retail and wholesale managers | GCE A level or equivalent | Degree or equivalent
Transport and distribution clerks | GCE A level or equivalent | Other qualification
Marketing associate professionals | Degree or equivalent | Degree or equivalent
Office managers | GCE A level or equivalent | Degree or equivalent
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Prim  nurs eductn teaching profs | Degree or equivalent | Other qualification
Planning and qlty control engineers | GCSE grades A*-C or equivalent | Degree or equivalent
Sales and retail assistants | GCSE grades A*-C or equivalent | Other qualification
Customer care occupations | Degree or equivalent | Other qualification
Car park attendants | GCE A level or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Software professionals | GCE A level or equivalent | Degree or equivalent
Van drivers | Degree or equivalent | Other qualification
Heavy goods vehicle drivers | GCSE grades A*-C or equivalent | Other qualification
Nurses | Higher education | Degree or equivalent
Telephonists | GCE A level or equivalent | Other qualification
Solic  lawyers judges  coroners | Degree or equivalent | Other qualification
Care assistants and home carers | GCE A level or equivalent | Other qualification
Veterinary nurses and assistants | GCE A level or equivalent | Other qualification
educal assistants | Higher education | Degree or equivalent
Police officers inspectrs  above | Degree or equivalent | Other qualification
Science  eng technicians nec | Other qualification | Other qualification
Office managers | Degree or equivalent | Degree or equivalent
Financial institution managers | Other qualification | Degree or equivalent
Customer care occupations | GCE A level or equivalent | Other qualification
Chartered and certified accountants | Other qualification | Degree or equivalent
Telephone salespersons | Other qualification | Other qualification
Telecommunications engineers | GCE A level or equivalent | Other qualification
educal assistants | GCSE grades A*-C or equivalent | Degree or equivalent
Oth good hndlng  storage occup nec | GCE A level or equivalent | Other qualification
Cleaners domestics | GCE A level or equivalent | Other qualification
General office assistants or clerks | Other qualification | GCSE grades A*-C or equivalent
Weighers graders sorters | Other qualification | Other qualification
Motor mechanics auto engineers | Other qualification | Other qualification
Cleaners domestics | GCSE grades A*-C or equivalent | Other qualification
Chefs cooks | Degree or equivalent | Other qualification
Prod works  maintenance managers | Degree or equivalent | Other qualification
Chefs cooks | GCSE grades A*-C or equivalent | Other qualification
Social services managers | Degree or equivalent | Other qualification
Business  related assoc profs nec | Degree or equivalent | Other qualification
Software professionals | GCE A level or equivalent | Degree or equivalent
General office assistants or clerks | GCE A level or equivalent | GCSE grades A*-C or equivalent
Medical practitioners | Degree or equivalent | Other qualification
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
School midday assistants | Degree or equivalent | Other qualification
Mngmnt cons actuar econs  statn | Degree or equivalent | Other qualification
Mtl mkng  treating procss operatve | GCE A level or equivalent | Other qualification
Routine inspectors and testers | Other qualification | Other qualification
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
Directors  chief execs of maj orgs | Degree or equivalent | Other qualification
Personnel  ind relations offs | Degree or equivalent | Other qualification
Personal assists  othr secretaries | Other qualification | Other qualification
educ officersschool inspectrs | Degree or equivalent | Other qualification
Financial managers  chartered secs | Degree or equivalent | Degree or equivalent
Local gov clerical offs  assists | Degree or equivalent | Other qualification
Customer care occupations | GCE A level or equivalent | Other qualification
Higher educ teaching prfsnals | Degree or equivalent | Other qualification
Sales representatives | Degree or equivalent | Other qualification
Taxation experts | Degree or equivalent | Other qualification
Van drivers | GCSE grades A*-C or equivalent | Other qualification
Textile process operatives | GCSE grades A*-C or equivalent | Other qualification
Storage and warehouse managers | GCSE grades A*-C or equivalent | Other qualification
Leisure and theme park attendants | GCSE grades A*-C or equivalent | Other qualification
Midwives | Degree or equivalent | Other qualification
Heavy goods vehicle drivers | GCE A level or equivalent | Other qualification
Cleaners domestics | GCE A level or equivalent | Other qualification
Mtl working prod  maintnce fitter | GCE A level or equivalent | Other qualification
Oth good hndlng  storage occup nec | Degree or equivalent | Other qualification
educal assistants | Degree or equivalent | Degree or equivalent
Financial managers  chartered secs | Other qualification | Degree or equivalent
Sales representatives | GCE A level or equivalent | Other qualification
Transport and distribution managers | Other qualification | Degree or equivalent
